"Post Title",Post/Page,Domain,"Original Author","Original Post date","last edited Author","Last Modified Date","Number of Times Accessed","Total Hits"
"Course Guide: BUSI 1033",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:37Z,yorkvilleu,1970-01-01T00:33:37Z,0,"0 Views"
"SOS Moved",page,success.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 Views"
"Stress Management",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:37Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Crisis Help",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:37Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Get Tutoring Support",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:37Z,yorkvilleu,1970-01-01T00:33:37Z,0,"0 Views"
"Smarthinking - Math and Writing Tutoring",post,success.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:38Z,0,"0 Views"
"Math Lab",page,success.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 Views"
"Tools to Support your Study",page,success.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 Views"
"Library Tools",page,success.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 Views"
"Home-Study Balance",page,success.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 Views"
"Writing Lab",page,success.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 Views"
"New to YorkvilleU",page,success.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 Views"
Navigation,page,success.yorkvilleu.test,andrewnormore,1970-01-01T00:33:37Z,andrewnormore,1970-01-01T00:33:37Z,0,"0 Views"
"Creating a Narrated PowerPoint",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Library Searching Orientation",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:36Z,0,"0 Views"
"How to Perform a Literature Review",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"How to Write a Critique",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:36Z,0,"0 Views"
"How to Use the Databases",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:36Z,0,"0 Views"
"Finding Peer-Reviewed Articles",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:36Z,0,"0 Views"
"Citing Business Resources",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"What are Peer Reviewed Articles?",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:36Z,0,"0 Views"
"How to Cite in APA",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:36Z,0,"0 Views"
"Plagiarism Prevention Tutorial",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"What Do I Need to Reference?",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Why do I Need to Reference?",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"APA Checklist",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Referencing Guide: Websites",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Referencing Guide: Print",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"APA Formatting",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Basics of Referencing",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Crash Course in APA",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Literature Review: How to Write",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:36Z,0,"0 Views"
"Literature Review: How to Research",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Editing your Essay",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Essay Checklist",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:36Z,0,"0 Views"
"How to Write an Essay",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:36Z,0,"0 Views"
"Research for Essays",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:36Z,0,"0 Views"
"How Will the Instructor Assess Your Essay?",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Report Final Checklist",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Editing your Report",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
"Write a Report",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:36Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
